--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.5      |
|    disc/disc_acc_expert | 0.00781  |
|    disc/disc_acc_gen    | 0.992    |
|    disc/disc_entropy    | 0.687    |
|    disc/disc_loss       | 0.738    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 1        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 128      |
|    gen/time/episodes    | 4        |
|    gen/time/fps         | 85       |
|    gen/time/time_ela... | 9        |
|    gen/time/total_ti... | 800      |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.551    |
|    disc/disc_acc_expert | 0.125    |
|    disc/disc_acc_gen    | 0.977    |
|    disc/disc_entropy    | 0.689    |
|    disc/disc_loss       | 0.713    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 2        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 8        |
|    gen/time/fps         | 240      |
|    gen/time/time_ela... | 6        |
|    gen/time/total_ti... | 1.6e+03  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.594    |
|    disc/disc_acc_expert | 0.203    |
|    disc/disc_acc_gen    | 0.984    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.688    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 3        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 12       |
|    gen/time/fps         | 592      |
|    gen/time/time_ela... | 4        |
|    gen/time/total_ti... | 2.4e+03  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.77     |
|    disc/disc_acc_expert | 0.562    |
|    disc/disc_acc_gen    | 0.977    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.656    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 4        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 128      |
|    gen/time/episodes    | 18       |
|    gen/time/fps         | 1.3e+03  |
|    gen/time/time_ela... | 5.5      |
|    gen/time/total_ti... | 3.6e+03  |
|    gen/train/actor_loss | -13.7    |
|    gen/train/critic_... | 23.7     |
|    gen/train/ent_coef   | 0.986    |
|    gen/train/ent_coe... | -0.312   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 48.5     |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.816    |
|    disc/disc_acc_expert | 0.727    |
|    disc/disc_acc_gen    | 0.906    |
|    disc/disc_entropy    | 0.687    |
|    disc/disc_loss       | 0.632    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 5        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 128      |
|    gen/time/episodes    | 24       |
|    gen/time/fps         | 345      |
|    gen/time/time_ela... | 13       |
|    gen/time/total_ti... | 4.8e+03  |
|    gen/train/actor_loss | -28.2    |
|    gen/train/critic_... | 0.811    |
|    gen/train/ent_coef   | 0.837    |
|    gen/train/ent_coe... | -3.95    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 608      |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.844    |
|    disc/disc_acc_expert | 0.82     |
|    disc/disc_acc_gen    | 0.867    |
|    disc/disc_entropy    | 0.687    |
|    disc/disc_loss       | 0.633    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 6        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 129      |
|    gen/time/episodes    | 28       |
|    gen/time/fps         | 597      |
|    gen/time/time_ela... | 9        |
|    gen/time/total_ti... | 5.6e+03  |
|    gen/train/actor_loss | -45.7    |
|    gen/train/critic_... | 0.568    |
|    gen/train/ent_coef   | 0.617    |
|    gen/train/ent_coe... | -10.3    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.63e+03 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.875    |
|    disc/disc_acc_expert | 0.938    |
|    disc/disc_acc_gen    | 0.812    |
|    disc/disc_entropy    | 0.684    |
|    disc/disc_loss       | 0.614    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 7        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 129      |
|    gen/time/episodes    | 32       |
|    gen/time/fps         | 1.28e+03 |
|    gen/time/time_ela... | 5        |
|    gen/time/total_ti... | 6.4e+03  |
|    gen/train/actor_loss | -55      |
|    gen/train/critic_... | 0.503    |
|    gen/train/ent_coef   | 0.456    |
|    gen/train/ent_coe... | -16.4    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.66e+03 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.891    |
|    disc/disc_acc_expert | 0.961    |
|    disc/disc_acc_gen    | 0.82     |
|    disc/disc_entropy    | 0.679    |
|    disc/disc_loss       | 0.591    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 8        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 130      |
|    gen/time/episodes    | 38       |
|    gen/time/fps         | 5.4e+03  |
|    gen/time/time_ela... | 8        |
|    gen/time/total_ti... | 7.6e+03  |
|    gen/train/actor_loss | -57.6    |
|    gen/train/critic_... | 0.452    |
|    gen/train/ent_coef   | 0.338    |
|    gen/train/ent_coe... | -21.9    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.68e+03 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.938    |
|    disc/disc_acc_expert | 0.969    |
|    disc/disc_acc_gen    | 0.906    |
|    disc/disc_entropy    | 0.675    |
|    disc/disc_loss       | 0.573    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 9        |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 130      |
|    gen/time/episodes    | 44       |
|    gen/time/fps         | 745      |
|    gen/time/time_ela... | 11       |
|    gen/time/total_ti... | 8.8e+03  |
|    gen/train/actor_loss | -56.1    |
|    gen/train/critic_... | 0.362    |
|    gen/train/ent_coef   | 0.25     |
|    gen/train/ent_coe... | -27.5    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.7e+03  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.895    |
|    disc/disc_acc_expert | 0.992    |
|    disc/disc_acc_gen    | 0.797    |
|    disc/disc_entropy    | 0.67     |
|    disc/disc_loss       | 0.561    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 10       |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 130      |
|    gen/time/episodes    | 48       |
|    gen/time/fps         | 1.19e+03 |
|    gen/time/time_ela... | 8        |
|    gen/time/total_ti... | 9.6e+03  |
|    gen/train/actor_loss | -52.3    |
|    gen/train/critic_... | 0.297    |
|    gen/train/ent_coef   | 0.185    |
|    gen/train/ent_coe... | -32      |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 5.73e+03 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.82     |
|    disc/disc_acc_expert | 0.992    |
|    disc/disc_acc_gen    | 0.648    |
|    disc/disc_entropy    | 0.666    |
|    disc/disc_loss       | 0.567    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 11       |
|    disc/n_expert        | 64       |
|    disc/n_generated     | 64       |
