Running with `allow_variable_horizon` set to True. Some algorithms are biased towards shorter or longer episodes, which may significantly confound results. Additionally, even unbiased algorithms can exploit the information leak from the termination condition, producing spuriously high performance. See https://imitation.readthedocs.io/en/latest/guide/variable_horizon.html for more information.
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.677    |
|    disc/disc_acc_expert | 0.472    |
|    disc/disc_acc_gen    | 0.882    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.674    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 1        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 130      |
|    gen/time/fps         | 48.3     |
|    gen/time/time_ela... | 590      |
|    gen/time/total_ti... | 2.6e+04  |
|    gen/train/actor_loss | -14.7    |
|    gen/train/critic_... | 0.129    |
|    gen/train/ent_coef   | 0.0729   |
|    gen/train/ent_coe... | -15.2    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.36e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.687    |
|    disc/disc_acc_expert | 0.508    |
|    disc/disc_acc_gen    | 0.865    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.662    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 2        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 386      |
|    gen/time/fps         | 233      |
|    gen/time/time_ela... | 644      |
|    gen/time/total_ti... | 7.72e+04 |
|    gen/train/actor_loss | -2.13    |
|    gen/train/critic_... | 0.00398  |
|    gen/train/ent_coef   | 0.00101  |
|    gen/train/ent_coe... | -0.0458  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7.28e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.652    |
|    disc/disc_acc_expert | 0.529    |
|    disc/disc_acc_gen    | 0.775    |
|    disc/disc_entropy    | 0.689    |
|    disc/disc_loss       | 0.657    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 3        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 197      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 642      |
|    gen/time/fps         | 413      |
|    gen/time/time_ela... | 663      |
|    gen/time/total_ti... | 1.28e+05 |
|    gen/train/actor_loss | -1.76    |
|    gen/train/critic_... | 0.00263  |
|    gen/train/ent_coef   | 0.000617 |
|    gen/train/ent_coe... | -0.0836  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.24e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.561    |
|    disc/disc_acc_expert | 0.547    |
|    disc/disc_acc_gen    | 0.574    |
|    disc/disc_entropy    | 0.688    |
|    disc/disc_loss       | 0.656    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 4        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 137      |
|    gen/time/episodes    | 900      |
|    gen/time/fps         | 1.77e+03 |
|    gen/time/time_ela... | 643      |
|    gen/time/total_ti... | 1.79e+05 |
|    gen/train/actor_loss | -1.93    |
|    gen/train/critic_... | 0.00402  |
|    gen/train/ent_coef   | 0.000667 |
|    gen/train/ent_coe... | 0.0521   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.75e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.567    |
|    disc/disc_acc_expert | 0.58     |
|    disc/disc_acc_gen    | 0.555    |
|    disc/disc_entropy    | 0.686    |
|    disc/disc_loss       | 0.649    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 5        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 138      |
|    gen/time/episodes    | 1.16e+03 |
|    gen/time/fps         | 801      |
|    gen/time/time_ela... | 653      |
|    gen/time/total_ti... | 2.31e+05 |
|    gen/train/actor_loss | -2.51    |
|    gen/train/critic_... | 0.0111   |
|    gen/train/ent_coef   | 0.00103  |
|    gen/train/ent_coe... | 0.0697   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.26e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.506    |
|    disc/disc_acc_expert | 0.621    |
|    disc/disc_acc_gen    | 0.39     |
|    disc/disc_entropy    | 0.685    |
|    disc/disc_loss       | 0.65     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 6        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 141      |
|    gen/time/episodes    | 1.41e+03 |
|    gen/time/fps         | 1.04e+03 |
|    gen/time/time_ela... | 650      |
|    gen/time/total_ti... | 2.82e+05 |
|    gen/train/actor_loss | -1.92    |
|    gen/train/critic_... | 0.00588  |
|    gen/train/ent_coef   | 0.000657 |
|    gen/train/ent_coe... | -0.23    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.78e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.489    |
|    disc/disc_acc_expert | 0.679    |
|    disc/disc_acc_gen    | 0.299    |
|    disc/disc_entropy    | 0.682    |
|    disc/disc_loss       | 0.648    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 7        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 144      |
|    gen/time/episodes    | 1.67e+03 |
|    gen/time/fps         | 1.26e+03 |
|    gen/time/time_ela... | 642      |
|    gen/time/total_ti... | 3.33e+05 |
|    gen/train/actor_loss | -1.46    |
|    gen/train/critic_... | 0.00179  |
|    gen/train/ent_coef   | 0.000318 |
|    gen/train/ent_coe... | -0.0569  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.29e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.562    |
|    disc/disc_acc_expert | 0.777    |
|    disc/disc_acc_gen    | 0.347    |
|    disc/disc_entropy    | 0.68     |
|    disc/disc_loss       | 0.635    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 8        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 143      |
|    gen/time/episodes    | 1.93e+03 |
|    gen/time/fps         | 1.46e+03 |
|    gen/time/time_ela... | 652      |
|    gen/time/total_ti... | 3.84e+05 |
|    gen/train/actor_loss | -1.39    |
|    gen/train/critic_... | 0.00137  |
|    gen/train/ent_coef   | 0.000262 |
|    gen/train/ent_coe... | -0.0417  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.8e+05  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.605    |
|    disc/disc_acc_expert | 0.87     |
|    disc/disc_acc_gen    | 0.34     |
|    disc/disc_entropy    | 0.678    |
|    disc/disc_loss       | 0.626    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 9        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 142      |
|    gen/time/episodes    | 2.18e+03 |
|    gen/time/fps         | 1.75e+03 |
|    gen/time/time_ela... | 625      |
|    gen/time/total_ti... | 4.35e+05 |
|    gen/train/actor_loss | -1.34    |
|    gen/train/critic_... | 0.00122  |
|    gen/train/ent_coef   | 0.000222 |
|    gen/train/ent_coe... | -0.0107  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.31e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.751    |
|    disc/disc_acc_expert | 0.948    |
|    disc/disc_acc_gen    | 0.554    |
|    disc/disc_entropy    | 0.675    |
|    disc/disc_loss       | 0.611    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 10       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 139      |
|    gen/time/episodes    | 2.44e+03 |
|    gen/time/fps         | 1.94e+03 |
|    gen/time/time_ela... | 635      |
|    gen/time/total_ti... | 4.87e+05 |
|    gen/train/actor_loss | -1.21    |
|    gen/train/critic_... | 0.000804 |
|    gen/train/ent_coef   | 0.000176 |
|    gen/train/ent_coe... | -0.112   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.82e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.9      |
|    disc/disc_acc_expert | 0.961    |
|    disc/disc_acc_gen    | 0.838    |
|    disc/disc_entropy    | 0.671    |
|    disc/disc_loss       | 0.594    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 11       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 135      |
|    gen/time/episodes    | 2.69e+03 |
|    gen/time/fps         | 2.19e+03 |
|    gen/time/time_ela... | 644      |
|    gen/time/total_ti... | 5.38e+05 |
|    gen/train/actor_loss | -1.17    |
|    gen/train/critic_... | 0.000714 |
|    gen/train/ent_coef   | 0.000159 |
|    gen/train/ent_coe... | -0.0779  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 5.34e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.944    |
|    disc/disc_acc_expert | 0.965    |
|    disc/disc_acc_gen    | 0.924    |
|    disc/disc_entropy    | 0.667    |
|    disc/disc_loss       | 0.577    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 12       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 2.95e+03 |
