Running with `allow_variable_horizon` set to True. Some algorithms are biased towards shorter or longer episodes, which may significantly confound results. Additionally, even unbiased algorithms can exploit the information leak from the termination condition, producing spuriously high performance. See https://imitation.readthedocs.io/en/latest/guide/variable_horizon.html for more information.
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.687    |
|    disc/disc_acc_expert | 0.533    |
|    disc/disc_acc_gen    | 0.842    |
|    disc/disc_entropy    | 0.688    |
|    disc/disc_loss       | 0.651    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 1        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 130      |
|    gen/time/fps         | 47.4     |
|    gen/time/time_ela... | 603      |
|    gen/time/total_ti... | 2.6e+04  |
|    gen/train/actor_loss | -14.7    |
|    gen/train/critic_... | 0.129    |
|    gen/train/ent_coef   | 0.0729   |
|    gen/train/ent_coe... | -15.2    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.36e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.868    |
|    disc/disc_acc_expert | 0.969    |
|    disc/disc_acc_gen    | 0.766    |
|    disc/disc_entropy    | 0.674    |
|    disc/disc_loss       | 0.597    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 2        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 386      |
|    gen/time/fps         | 228      |
|    gen/time/time_ela... | 653      |
|    gen/time/total_ti... | 7.72e+04 |
|    gen/train/actor_loss | -2.17    |
|    gen/train/critic_... | 0.004    |
|    gen/train/ent_coef   | 0.00101  |
|    gen/train/ent_coe... | -0.0361  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7.28e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.807    |
|    disc/disc_acc_expert | 1        |
|    disc/disc_acc_gen    | 0.615    |
|    disc/disc_entropy    | 0.651    |
|    disc/disc_loss       | 0.556    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 3        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 137      |
|    gen/time/episodes    | 642      |
|    gen/time/fps         | 393      |
|    gen/time/time_ela... | 687      |
|    gen/time/total_ti... | 1.28e+05 |
|    gen/train/actor_loss | -2.18    |
|    gen/train/critic_... | 0.00358  |
|    gen/train/ent_coef   | 0.00076  |
|    gen/train/ent_coe... | -0.0962  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.24e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.781    |
|    disc/disc_acc_expert | 0.994    |
|    disc/disc_acc_gen    | 0.569    |
|    disc/disc_entropy    | 0.625    |
|    disc/disc_loss       | 0.524    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 4        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 142      |
|    gen/time/episodes    | 898      |
|    gen/time/fps         | 608      |
|    gen/time/time_ela... | 685      |
|    gen/time/total_ti... | 1.79e+05 |
|    gen/train/actor_loss | -1.63    |
|    gen/train/critic_... | 0.00174  |
|    gen/train/ent_coef   | 0.000416 |
|    gen/train/ent_coe... | -0.111   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.75e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.837    |
|    disc/disc_acc_expert | 0.967    |
|    disc/disc_acc_gen    | 0.706    |
|    disc/disc_entropy    | 0.608    |
|    disc/disc_loss       | 0.481    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 5        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 147      |
|    gen/time/episodes    | 1.15e+03 |
|    gen/time/fps         | 1.04e+03 |
|    gen/time/time_ela... | 644      |
|    gen/time/total_ti... | 2.3e+05  |
|    gen/train/actor_loss | -1.51    |
|    gen/train/critic_... | 0.00141  |
|    gen/train/ent_coef   | 0.000327 |
|    gen/train/ent_coe... | -0.0212  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.26e+05 |
--------------------------------------
