Running with `allow_variable_horizon` set to True. Some algorithms are biased towards shorter or longer episodes, which may significantly confound results. Additionally, even unbiased algorithms can exploit the information leak from the termination condition, producing spuriously high performance. See https://imitation.readthedocs.io/en/latest/guide/variable_horizon.html for more information.
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.625    |
|    disc/disc_acc_expert | 0.391    |
|    disc/disc_acc_gen    | 0.859    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.681    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 1        |
|    disc/n_expert        | 32       |
|    disc/n_generated     | 32       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 135      |
|    gen/time/episodes    | 4        |
|    gen/time/fps         | 82       |
|    gen/time/time_ela... | 9        |
|    gen/time/total_ti... | 800      |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.695    |
|    disc/disc_acc_expert | 0.469    |
|    disc/disc_acc_gen    | 0.922    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.654    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 2        |
|    disc/n_expert        | 32       |
|    disc/n_generated     | 32       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 134      |
|    gen/time/episodes    | 8        |
|    gen/time/fps         | 229      |
|    gen/time/time_ela... | 6        |
|    gen/time/total_ti... | 1.6e+03  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.711    |
|    disc/disc_acc_expert | 0.625    |
|    disc/disc_acc_gen    | 0.797    |
|    disc/disc_entropy    | 0.687    |
|    disc/disc_loss       | 0.632    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 3        |
|    disc/n_expert        | 32       |
|    disc/n_generated     | 32       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 134      |
|    gen/time/episodes    | 12       |
|    gen/time/fps         | 571      |
|    gen/time/time_ela... | 4        |
|    gen/time/total_ti... | 2.4e+03  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.742    |
|    disc/disc_acc_expert | 0.656    |
|    disc/disc_acc_gen    | 0.828    |
|    disc/disc_entropy    | 0.687    |
|    disc/disc_loss       | 0.643    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 4        |
|    disc/n_expert        | 32       |
|    disc/n_generated     | 32       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 134      |
|    gen/time/episodes    | 18       |
|    gen/time/fps         | 1.12e+03 |
|    gen/time/time_ela... | 6        |
|    gen/time/total_ti... | 3.6e+03  |
|    gen/train/actor_loss | -13.8    |
|    gen/train/critic_... | 22.7     |
|    gen/train/ent_coef   | 0.986    |
|    gen/train/ent_coe... | -0.312   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 48.5     |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.828    |
|    disc/disc_acc_expert | 0.812    |
|    disc/disc_acc_gen    | 0.844    |
|    disc/disc_entropy    | 0.682    |
|    disc/disc_loss       | 0.619    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 5        |
|    disc/n_expert        | 32       |
|    disc/n_generated     | 32       |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 134      |
|    gen/time/episodes    | 24       |
|    gen/time/fps         | 310      |
|    gen/time/time_ela... | 15       |
|    gen/time/total_ti... | 4.8e+03  |
|    gen/train/actor_loss | -28.4    |
