Running with `allow_variable_horizon` set to True. Some algorithms are biased towards shorter or longer episodes, which may significantly confound results. Additionally, even unbiased algorithms can exploit the information leak from the termination condition, producing spuriously high performance. See https://imitation.readthedocs.io/en/latest/guide/variable_horizon.html for more information.
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.667    |
|    disc/disc_acc_expert | 0.455    |
|    disc/disc_acc_gen    | 0.879    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.677    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 1        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 66       |
|    gen/time/fps         | 53.9     |
|    gen/time/time_ela... | 274      |
|    gen/time/total_ti... | 1.32e+04 |
|    gen/train/actor_loss | -27.7    |
|    gen/train/critic_... | 0.266    |
|    gen/train/ent_coef   | 0.157    |
|    gen/train/ent_coe... | -32.7    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.08e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.694    |
|    disc/disc_acc_expert | 0.471    |
|    disc/disc_acc_gen    | 0.916    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.673    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 2        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 132      |
|    gen/time/episodes    | 194      |
|    gen/time/fps         | 207      |
|    gen/time/time_ela... | 322      |
|    gen/time/total_ti... | 3.88e+04 |
|    gen/train/actor_loss | -3.76    |
|    gen/train/critic_... | 0.0128   |
|    gen/train/ent_coef   | 0.00231  |
|    gen/train/ent_coe... | -0.303   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.44e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.689    |
|    disc/disc_acc_expert | 0.48     |
|    disc/disc_acc_gen    | 0.898    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.675    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 3        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 131      |
|    gen/time/episodes    | 322      |
|    gen/time/fps         | 368      |
|    gen/time/time_ela... | 326      |
|    gen/time/total_ti... | 6.44e+04 |
|    gen/train/actor_loss | -2.17    |
|    gen/train/critic_... | 0.00345  |
|    gen/train/ent_coef   | 0.00116  |
|    gen/train/ent_coe... | -0.182   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 6e+04    |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.69     |
|    disc/disc_acc_expert | 0.487    |
|    disc/disc_acc_gen    | 0.893    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.674    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 4        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 132      |
|    gen/time/episodes    | 450      |
|    gen/time/fps         | 588      |
|    gen/time/time_ela... | 315      |
|    gen/time/total_ti... | 8.99e+04 |
|    gen/train/actor_loss | -1.9     |
|    gen/train/critic_... | 0.00251  |
|    gen/train/ent_coef   | 0.000804 |
|    gen/train/ent_coe... | 0.0316   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 8.56e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.678    |
|    disc/disc_acc_expert | 0.493    |
|    disc/disc_acc_gen    | 0.862    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.674    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 5        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 198      |
|    gen/rollout/ep_re... | 132      |
|    gen/time/episodes    | 578      |
|    gen/time/fps         | 754      |
|    gen/time/time_ela... | 331      |
|    gen/time/total_ti... | 1.15e+05 |
|    gen/train/actor_loss | -2.24    |
|    gen/train/critic_... | 0.00361  |
|    gen/train/ent_coef   | 0.000854 |
|    gen/train/ent_coe... | -0.0284  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.11e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.662    |
|    disc/disc_acc_expert | 0.495    |
|    disc/disc_acc_gen    | 0.828    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.673    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 6        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 706      |
|    gen/time/fps         | 1.09e+03 |
|    gen/time/time_ela... | 327      |
|    gen/time/total_ti... | 1.41e+05 |
|    gen/train/actor_loss | -2.29    |
|    gen/train/critic_... | 0.00366  |
|    gen/train/ent_coef   | 0.000777 |
|    gen/train/ent_coe... | -0.0791  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.37e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.607    |
|    disc/disc_acc_expert | 0.496    |
|    disc/disc_acc_gen    | 0.718    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.678    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 7        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 134      |
|    gen/time/episodes    | 834      |
|    gen/time/fps         | 1.39e+03 |
|    gen/time/time_ela... | 317      |
|    gen/time/total_ti... | 1.66e+05 |
|    gen/train/actor_loss | -2.01    |
|    gen/train/critic_... | 0.00293  |
|    gen/train/ent_coef   | 0.000603 |
|    gen/train/ent_coe... | -0.0936  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.62e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.654    |
|    disc/disc_acc_expert | 0.498    |
|    disc/disc_acc_gen    | 0.81     |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.673    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 8        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
