Running with `allow_variable_horizon` set to True. Some algorithms are biased towards shorter or longer episodes, which may significantly confound results. Additionally, even unbiased algorithms can exploit the information leak from the termination condition, producing spuriously high performance. See https://imitation.readthedocs.io/en/latest/guide/variable_horizon.html for more information.
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.672    |
|    disc/disc_acc_expert | 0.458    |
|    disc/disc_acc_gen    | 0.886    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.677    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 1        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 130      |
|    gen/time/fps         | 46.6     |
|    gen/time/time_ela... | 610      |
|    gen/time/total_ti... | 2.6e+04  |
|    gen/train/actor_loss | -14.7    |
|    gen/train/critic_... | 0.129    |
|    gen/train/ent_coef   | 0.0729   |
|    gen/train/ent_coe... | -15.2    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.36e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.686    |
|    disc/disc_acc_expert | 0.477    |
|    disc/disc_acc_gen    | 0.896    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.675    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 2        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 132      |
|    gen/time/episodes    | 386      |
|    gen/time/fps         | 226      |
|    gen/time/time_ela... | 658      |
|    gen/time/total_ti... | 7.72e+04 |
|    gen/train/actor_loss | -2.34    |
|    gen/train/critic_... | 0.00492  |
|    gen/train/ent_coef   | 0.00113  |
|    gen/train/ent_coe... | 0.000463 |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7.28e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.676    |
|    disc/disc_acc_expert | 0.481    |
|    disc/disc_acc_gen    | 0.871    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.675    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 3        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 642      |
|    gen/time/fps         | 441      |
|    gen/time/time_ela... | 643      |
|    gen/time/total_ti... | 1.28e+05 |
|    gen/train/actor_loss | -2.94    |
|    gen/train/critic_... | 0.0088   |
