Running with `allow_variable_horizon` set to True. Some algorithms are biased towards shorter or longer episodes, which may significantly confound results. Additionally, even unbiased algorithms can exploit the information leak from the termination condition, producing spuriously high performance. See https://imitation.readthedocs.io/en/latest/guide/variable_horizon.html for more information.
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.49     |
|    disc/disc_acc_expert | 0        |
|    disc/disc_acc_gen    | 0.98     |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.714    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 1        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 14       |
|    gen/time/fps         | 84.7     |
|    gen/time/time_ela... | 32.7     |
|    gen/time/total_ti... | 2.8e+03  |
|    gen/train/actor_loss | -26.9    |
|    gen/train/critic_... | 2.77     |
|    gen/train/ent_coef   | 0.85     |
|    gen/train/ent_coe... | -3.64    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 560      |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.494    |
|    disc/disc_acc_expert | 0        |
|    disc/disc_acc_gen    | 0.988    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.694    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 2        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 38       |
|    gen/time/fps         | 224      |
|    gen/time/time_ela... | 50.7     |
|    gen/time/total_ti... | 7.6e+03  |
|    gen/train/actor_loss | -53.3    |
|    gen/train/critic_... | 0.431    |
|    gen/train/ent_coef   | 0.369    |
|    gen/train/ent_coe... | -21.6    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.68e+03 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.51     |
|    disc/disc_acc_expert | 0.0547   |
|    disc/disc_acc_gen    | 0.965    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.685    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 3        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 64       |
|    gen/time/fps         | 686      |
|    gen/time/time_ela... | 53.3     |
|    gen/time/total_ti... | 1.28e+04 |
|    gen/train/actor_loss | -36.7    |
|    gen/train/critic_... | 0.153    |
|    gen/train/ent_coef   | 0.0834   |
|    gen/train/ent_coe... | -41.4    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 8.8e+03  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.518    |
|    disc/disc_acc_expert | 0.0547   |
|    disc/disc_acc_gen    | 0.98     |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.679    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 4        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 126      |
|    gen/time/episodes    | 90       |
|    gen/time/fps         | 515      |
|    gen/time/time_ela... | 53.8     |
|    gen/time/total_ti... | 1.79e+04 |
|    gen/train/actor_loss | -18.4    |
|    gen/train/critic_... | 0.0925   |
|    gen/train/ent_coef   | 0.0207   |
|    gen/train/ent_coe... | -33.6    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.39e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.607    |
|    disc/disc_acc_expert | 0.258    |
|    disc/disc_acc_gen    | 0.957    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.67     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 5        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 126      |
|    gen/time/episodes    | 116      |
|    gen/time/fps         | 1.06e+03 |
|    gen/time/time_ela... | 55       |
|    gen/time/total_ti... | 2.31e+04 |
|    gen/train/actor_loss | -11.6    |
|    gen/train/critic_... | 0.0605   |
|    gen/train/ent_coef   | 0.00834  |
|    gen/train/ent_coe... | -4.24    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.9e+04  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.789    |
|    disc/disc_acc_expert | 0.613    |
|    disc/disc_acc_gen    | 0.965    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.66     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 6        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 142      |
|    gen/time/fps         | 690      |
|    gen/time/time_ela... | 57.7     |
|    gen/time/total_ti... | 2.83e+04 |
|    gen/train/actor_loss | -8.85    |
|    gen/train/critic_... | 0.0459   |
|    gen/train/ent_coef   | 0.00657  |
|    gen/train/ent_coe... | -0.173   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.42e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.885    |
|    disc/disc_acc_expert | 0.828    |
|    disc/disc_acc_gen    | 0.941    |
|    disc/disc_entropy    | 0.692    |
|    disc/disc_loss       | 0.66     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 7        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 166      |
|    gen/time/fps         | 1.18e+03 |
|    gen/time/time_ela... | 51       |
|    gen/time/total_ti... | 3.31e+04 |
|    gen/train/actor_loss | -7.26    |
|    gen/train/critic_... | 0.041    |
|    gen/train/ent_coef   | 0.00574  |
|    gen/train/ent_coe... | -0.108   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.93e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.939    |
|    disc/disc_acc_expert | 0.914    |
|    disc/disc_acc_gen    | 0.965    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.649    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 8        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 128      |
|    gen/time/episodes    | 192      |
|    gen/time/fps         | 3.7e+03  |
|    gen/time/time_ela... | 52.7     |
|    gen/time/total_ti... | 3.83e+04 |
|    gen/train/actor_loss | -6.31    |
|    gen/train/critic_... | 0.0352   |
|    gen/train/ent_coef   | 0.00505  |
|    gen/train/ent_coe... | -0.145   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.44e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.918    |
|    disc/disc_acc_expert | 0.922    |
|    disc/disc_acc_gen    | 0.914    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.644    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 9        |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 128      |
|    gen/time/episodes    | 218      |
|    gen/time/fps         | 1.31e+03 |
|    gen/time/time_ela... | 54.2     |
|    gen/time/total_ti... | 4.35e+04 |
|    gen/train/actor_loss | -5.64    |
|    gen/train/critic_... | 0.0286   |
|    gen/train/ent_coef   | 0.00438  |
|    gen/train/ent_coe... | -0.128   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.95e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.92     |
|    disc/disc_acc_expert | 0.938    |
|    disc/disc_acc_gen    | 0.902    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.631    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 10       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 128      |
|    gen/time/episodes    | 244      |
|    gen/time/fps         | 2.07e+03 |
|    gen/time/time_ela... | 56.3     |
|    gen/time/total_ti... | 4.87e+04 |
|    gen/train/actor_loss | -4.94    |
|    gen/train/critic_... | 0.0209   |
|    gen/train/ent_coef   | 0.00352  |
|    gen/train/ent_coe... | -0.284   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.46e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.922    |
|    disc/disc_acc_expert | 0.949    |
|    disc/disc_acc_gen    | 0.895    |
|    disc/disc_entropy    | 0.689    |
|    disc/disc_loss       | 0.628    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 11       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 127      |
|    gen/time/episodes    | 270      |
|    gen/time/fps         | 1.34e+03 |
|    gen/time/time_ela... | 58.5     |
|    gen/time/total_ti... | 5.39e+04 |
|    gen/train/actor_loss | -4.08    |
|    gen/train/critic_... | 0.0154   |
|    gen/train/ent_coef   | 0.00275  |
|    gen/train/ent_coe... | -0.249   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.98e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.91     |
|    disc/disc_acc_expert | 0.922    |
|    disc/disc_acc_gen    | 0.898    |
|    disc/disc_entropy    | 0.688    |
|    disc/disc_loss       | 0.616    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 12       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 126      |
|    gen/time/episodes    | 296      |
|    gen/time/fps         | 2.09e+03 |
|    gen/time/time_ela... | 58.6     |
|    gen/time/total_ti... | 5.9e+04  |
|    gen/train/actor_loss | -3.37    |
|    gen/train/critic_... | 0.0106   |
|    gen/train/ent_coef   | 0.00219  |
|    gen/train/ent_coe... | -0.259   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 5.49e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.939    |
|    disc/disc_acc_expert | 0.961    |
|    disc/disc_acc_gen    | 0.918    |
|    disc/disc_entropy    | 0.686    |
|    disc/disc_loss       | 0.603    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 13       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 124      |
|    gen/time/episodes    | 322      |
|    gen/time/fps         | 1.5e+03  |
|    gen/time/time_ela... | 59.7     |
|    gen/time/total_ti... | 6.42e+04 |
|    gen/train/actor_loss | -2.84    |
|    gen/train/critic_... | 0.00739  |
|    gen/train/ent_coef   | 0.00171  |
|    gen/train/ent_coe... | -0.313   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 6e+04    |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.9      |
|    disc/disc_acc_expert | 0.941    |
|    disc/disc_acc_gen    | 0.859    |
|    disc/disc_entropy    | 0.686    |
|    disc/disc_loss       | 0.604    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 14       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 124      |
|    gen/time/episodes    | 346      |
|    gen/time/fps         | 2.1e+03  |
|    gen/time/time_ela... | 53.7     |
|    gen/time/total_ti... | 6.9e+04  |
|    gen/train/actor_loss | -2.46    |
|    gen/train/critic_... | 0.00555  |
|    gen/train/ent_coef   | 0.00138  |
|    gen/train/ent_coe... | -0.241   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 6.51e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.932    |
|    disc/disc_acc_expert | 0.969    |
|    disc/disc_acc_gen    | 0.895    |
|    disc/disc_entropy    | 0.683    |
|    disc/disc_loss       | 0.586    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 15       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 123      |
|    gen/time/episodes    | 372      |
|    gen/time/fps         | 4.79e+03 |
|    gen/time/time_ela... | 53.9     |
|    gen/time/total_ti... | 7.42e+04 |
|    gen/train/actor_loss | -2.17    |
|    gen/train/critic_... | 0.00423  |
|    gen/train/ent_coef   | 0.00113  |
|    gen/train/ent_coe... | -0.266   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7.02e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.908    |
|    disc/disc_acc_expert | 0.918    |
|    disc/disc_acc_gen    | 0.898    |
|    disc/disc_entropy    | 0.679    |
|    disc/disc_loss       | 0.571    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 16       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 122      |
|    gen/time/episodes    | 398      |
|    gen/time/fps         | 2.07e+03 |
|    gen/time/time_ela... | 56.7     |
|    gen/time/total_ti... | 7.94e+04 |
|    gen/train/actor_loss | -1.95    |
|    gen/train/critic_... | 0.00337  |
|    gen/train/ent_coef   | 0.000944 |
|    gen/train/ent_coe... | -0.288   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7.54e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.928    |
|    disc/disc_acc_expert | 0.953    |
|    disc/disc_acc_gen    | 0.902    |
|    disc/disc_entropy    | 0.677    |
|    disc/disc_loss       | 0.555    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 17       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 121      |
|    gen/time/episodes    | 424      |
|    gen/time/fps         | 3.27e+03 |
|    gen/time/time_ela... | 56.4     |
|    gen/time/total_ti... | 8.46e+04 |
|    gen/train/actor_loss | -1.77    |
|    gen/train/critic_... | 0.0026   |
|    gen/train/ent_coef   | 0.000777 |
|    gen/train/ent_coe... | -0.308   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 8.05e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.902    |
|    disc/disc_acc_expert | 0.961    |
|    disc/disc_acc_gen    | 0.844    |
|    disc/disc_entropy    | 0.672    |
|    disc/disc_loss       | 0.543    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 18       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 119      |
|    gen/time/episodes    | 450      |
|    gen/time/fps         | 2.17e+03 |
|    gen/time/time_ela... | 59.3     |
|    gen/time/total_ti... | 8.98e+04 |
|    gen/train/actor_loss | -1.59    |
|    gen/train/critic_... | 0.00202  |
|    gen/train/ent_coef   | 0.000626 |
|    gen/train/ent_coe... | -0.275   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 8.56e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.875    |
|    disc/disc_acc_expert | 0.953    |
|    disc/disc_acc_gen    | 0.797    |
|    disc/disc_entropy    | 0.668    |
|    disc/disc_loss       | 0.539    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 19       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 119      |
|    gen/time/episodes    | 474      |
|    gen/time/fps         | 2.82e+03 |
|    gen/time/time_ela... | 56       |
|    gen/time/total_ti... | 9.46e+04 |
|    gen/train/actor_loss | -1.46    |
|    gen/train/critic_... | 0.0017   |
|    gen/train/ent_coef   | 0.000547 |
|    gen/train/ent_coe... | -0.206   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 9.07e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.869    |
|    disc/disc_acc_expert | 0.926    |
|    disc/disc_acc_gen    | 0.812    |
|    disc/disc_entropy    | 0.664    |
|    disc/disc_loss       | 0.532    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 20       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 118      |
|    gen/time/episodes    | 500      |
|    gen/time/fps         | 6.11e+03 |
|    gen/time/time_ela... | 54.4     |
|    gen/time/total_ti... | 9.98e+04 |
|    gen/train/actor_loss | -1.38    |
|    gen/train/critic_... | 0.00134  |
|    gen/train/ent_coef   | 0.000477 |
|    gen/train/ent_coe... | -0.289   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 9.58e+04 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.881    |
|    disc/disc_acc_expert | 0.957    |
|    disc/disc_acc_gen    | 0.805    |
|    disc/disc_entropy    | 0.664    |
|    disc/disc_loss       | 0.53     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 21       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 119      |
|    gen/time/episodes    | 526      |
|    gen/time/fps         | 2.89e+03 |
|    gen/time/time_ela... | 55.7     |
|    gen/time/total_ti... | 1.05e+05 |
|    gen/train/actor_loss | -1.31    |
|    gen/train/critic_... | 0.00106  |
|    gen/train/ent_coef   | 0.000424 |
|    gen/train/ent_coe... | -0.169   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.01e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.883    |
|    disc/disc_acc_expert | 0.973    |
|    disc/disc_acc_gen    | 0.793    |
|    disc/disc_entropy    | 0.654    |
|    disc/disc_loss       | 0.509    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 22       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 119      |
|    gen/time/episodes    | 552      |
|    gen/time/fps         | 4.21e+03 |
|    gen/time/time_ela... | 59.1     |
|    gen/time/total_ti... | 1.1e+05  |
|    gen/train/actor_loss | -1.28    |
|    gen/train/critic_... | 0.00101  |
|    gen/train/ent_coef   | 0.000396 |
|    gen/train/ent_coe... | -0.0484  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.06e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.867    |
|    disc/disc_acc_expert | 0.934    |
|    disc/disc_acc_gen    | 0.801    |
|    disc/disc_entropy    | 0.652    |
|    disc/disc_loss       | 0.508    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 23       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 118      |
|    gen/time/episodes    | 578      |
|    gen/time/fps         | 2.66e+03 |
|    gen/time/time_ela... | 58.2     |
|    gen/time/total_ti... | 1.15e+05 |
|    gen/train/actor_loss | -1.28    |
|    gen/train/critic_... | 0.000969 |
|    gen/train/ent_coef   | 0.000386 |
|    gen/train/ent_coe... | -0.0771  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.11e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.85     |
|    disc/disc_acc_expert | 0.965    |
|    disc/disc_acc_gen    | 0.734    |
|    disc/disc_entropy    | 0.644    |
|    disc/disc_loss       | 0.498    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 24       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 197      |
|    gen/rollout/ep_re... | 119      |
|    gen/time/episodes    | 604      |
|    gen/time/fps         | 6.02e+03 |
|    gen/time/time_ela... | 55.9     |
|    gen/time/total_ti... | 1.2e+05  |
|    gen/train/actor_loss | -1.25    |
|    gen/train/critic_... | 0.00209  |
|    gen/train/ent_coef   | 0.000386 |
|    gen/train/ent_coe... | 0.479    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.16e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.896    |
|    disc/disc_acc_expert | 0.969    |
|    disc/disc_acc_gen    | 0.824    |
|    disc/disc_entropy    | 0.633    |
|    disc/disc_loss       | 0.469    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 25       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 197      |
|    gen/rollout/ep_re... | 117      |
|    gen/time/episodes    | 630      |
|    gen/time/fps         | 3.2e+03  |
|    gen/time/time_ela... | 59.8     |
|    gen/time/total_ti... | 1.26e+05 |
|    gen/train/actor_loss | -1.36    |
|    gen/train/critic_... | 0.00326  |
|    gen/train/ent_coef   | 0.000437 |
|    gen/train/ent_coe... | 0.194    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.21e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.914    |
|    disc/disc_acc_expert | 0.984    |
|    disc/disc_acc_gen    | 0.844    |
|    disc/disc_entropy    | 0.613    |
|    disc/disc_loss       | 0.426    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 26       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
|    gen/rollout/ep_le... | 197      |
|    gen/rollout/ep_re... | 116      |
|    gen/time/episodes    | 654      |
|    gen/time/fps         | 5.15e+03 |
|    gen/time/time_ela... | 50.7     |
|    gen/time/total_ti... | 1.3e+05  |
|    gen/train/actor_loss | -1.56    |
|    gen/train/critic_... | 0.00384  |
|    gen/train/ent_coef   | 0.000485 |
|    gen/train/ent_coe... | 0.0882   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.27e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.906    |
|    disc/disc_acc_expert | 0.984    |
|    disc/disc_acc_gen    | 0.828    |
|    disc/disc_entropy    | 0.616    |
|    disc/disc_loss       | 0.436    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 27       |
|    disc/n_expert        | 128      |
|    disc/n_generated     | 128      |
